FirstName;LastName;age;City;State;StreetAddress;streetNumber
Theodore;McKinley;31;Lincoln;Georgia;E Fowler Avenue;35159
Theodore;Nixon;66;Baton Rouge;Nevada;Westside Freeway;4605
Calvin;Cleveland;74;Dover;Michigan;N Kentwood;38447
Richard;Clinton;89;Boston;Hawaii;North Preisker Lane;80804
Ulysses;Johnson;43;Boston;Maryland;Bowles Avenue;56843
Martin;Madison;51;Montpelier;Maine;Moreno Drive;9858
Franklin;Arthur;96;Indianapolis;Hawaii;Burnett Road;3874
Franklin;Arthur;81;Austin;North Dakota;San Luis Obispo North;16182
James;Jefferson;27;Montpelier;Alaska;East Calle Primera;32858
Dwight;Quincy;83;Harrisburg;Arkansas;Monroe Street;22613
John;Truman;36;Montgomery;North Dakota;East 1st Street;73453
Warren;McKinley;36;Pierre;New Mexico;North Erringer Road;77103
Franklin;Jackson;72;Austin;Illinois;Fairview Avenue;28276
Gerald;McKinley;31;Saint Paul;Washington;Hutchinson Rd;72885
William;Arthur;18;Oklahoma City;Colorado;North Preisker Lane;47813
Richard;Reagan;78;Bismarck;Alabama;East Fry Blvd.;90306
Thomas;Polk;21;Nashville;South Carolina;Woodson Rd.;54698
Millard;Adams;21;Little Rock;Wyoming;Timberlane Drive;64034
Woodrow;Fillmore;80;Trenton;Nevada;N Kentwood;37054
John;Quincy;56;Honolulu;Georgia;Tully Road East;53982
William;Hayes;18;Raleigh;Florida;N Kentwood;37791
Richard;Reagan;38;Trenton;Connecticut;Carpinteria North;87121
Abraham;Harrison;46;Oklahoma City;Delaware;Calle Real;55801
Bill;Adams;91;Atlanta;Colorado;Bayshore Freeway;78717
Abraham;Tyler;51;Atlanta;Colorado;Camelback Rd;55560
Ronald;Polk;90;Honolulu;Vermont;Richmond Hill;22208
Ronald;Carter;98;Richmond;Louisiana;Carpinteria South;74049
Lyndon;Arthur;31;Harrisburg;Ohio;Corona Del Mar;17275
Woodrow;Taft;20;Oklahoma City;North Dakota;Katella Avenue;74528
